                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2834,                  4.245,                 1.6043,                0.76546,                0.06893,                0.06197,                0.03174,                 1.5182,                  3.371,                   1.73,             7.8902e-05,             7.8902e-05,             7.8902e-05
                      1,                 1.2413,                 3.2516,                  1.582,                0.61145,                0.15569,                0.14641,                0.07383,                 1.6284,                 2.6687,                 1.8259,             0.00015719,             0.00015719,             0.00015719
                      2,                 1.2521,                 2.7506,                 1.5902,                0.49611,                0.24088,                0.18675,                0.09019,                 1.6539,                 2.5391,                 1.8589,             0.00023443,             0.00023443,             0.00023443
                      3,                 1.2456,                 2.5009,                 1.5853,                0.40999,                0.28837,                 0.2306,                0.10589,                 1.7948,                 2.5779,                 2.0133,             0.00023329,             0.00023329,             0.00023329
                      4,                 1.2179,                 2.2659,                 1.5419,                0.43956,                0.26392,                0.26116,                0.13172,                 1.6853,                 2.2344,                  1.858,             0.00023329,             0.00023329,             0.00023329
                      5,                 1.1999,                 2.1493,                 1.5239,                0.33523,                0.32614,                0.26631,                 0.1351,                 1.6383,                 2.3233,                 1.8262,             0.00023172,             0.00023172,             0.00023172
                      6,                  1.193,                  2.011,                 1.5188,                0.42684,                0.33764,                0.32559,                 0.1733,                 1.5896,                 2.0325,                 1.7358,             0.00023015,             0.00023015,             0.00023015
                      7,                 1.1758,                 1.9253,                 1.4992,                0.30887,                0.32928,                0.30121,                0.14376,                 1.8136,                 2.2405,                 2.0138,             0.00022858,             0.00022858,             0.00022858
                      8,                 1.1635,                 1.8417,                 1.4852,                0.38188,                0.35959,                0.33433,                0.17385,                 1.6202,                 2.0067,                 1.7465,               0.000227,               0.000227,               0.000227
                      9,                 1.1436,                  1.769,                 1.4739,                0.39374,                0.37089,                0.32731,                0.17838,                 1.6177,                 2.0723,                 1.7829,             0.00022543,             0.00022543,             0.00022543
                     10,                 1.1366,                 1.7228,                 1.4695,                0.40184,                0.38956,                0.33667,                0.16972,                 1.7075,                 1.9094,                 1.8412,             0.00022386,             0.00022386,             0.00022386
                     11,                 1.1334,                 1.6572,                 1.4486,                0.44594,                0.38634,                0.37889,                0.19781,                 1.6595,                 1.9222,                 1.7858,             0.00022229,             0.00022229,             0.00022229
                     12,                 1.1135,                 1.6074,                 1.4397,                0.46668,                0.38191,                0.36236,                0.20198,                 1.5568,                 1.9239,                 1.6911,             0.00022072,             0.00022072,             0.00022072
                     13,                 1.1171,                 1.6063,                 1.4338,                0.36044,                0.42692,                0.35316,                0.19388,                 1.5815,                 1.9886,                 1.6884,             0.00021915,             0.00021915,             0.00021915
                     14,                 1.1011,                 1.5067,                 1.4193,                0.34623,                0.42342,                0.38442,                0.22188,                 1.5556,                 1.8117,                 1.6658,             0.00021758,             0.00021758,             0.00021758
                     15,                 1.0853,                 1.4771,                 1.4173,                0.39387,                0.43805,                0.38549,                0.21362,                 1.5642,                 1.8989,                 1.6828,             0.00021601,             0.00021601,             0.00021601
                     16,                 1.0748,                 1.4369,                  1.408,                 0.4631,                0.39322,                0.40554,                0.23361,                 1.5623,                 1.8964,                 1.6527,             0.00021444,             0.00021444,             0.00021444
                     17,                 1.0816,                 1.4236,                 1.4084,                0.48332,                0.37629,                0.37763,                 0.2039,                 1.6377,                 2.0644,                  1.743,             0.00021287,             0.00021287,             0.00021287
                     18,                 1.0591,                 1.3936,                 1.3899,                0.42507,                0.42852,                0.41726,                0.25081,                 1.4403,                 1.8076,                  1.598,              0.0002113,              0.0002113,              0.0002113
                     19,                 1.0566,                 1.3496,                 1.3804,                 0.4236,                0.44355,                0.42228,                0.26788,                 1.2994,                 1.8091,                 1.4938,             0.00020973,             0.00020973,             0.00020973
                     20,                 1.0303,                 1.3189,                 1.3642,                0.40146,                0.42211,                0.40708,                0.23793,                 1.5384,                   1.77,                 1.6481,             0.00020815,             0.00020815,             0.00020815
                     21,                 1.0354,                 1.2569,                 1.3617,                0.44612,                 0.3779,                0.38833,                0.24172,                 1.4233,                 1.8063,                 1.5739,             0.00020658,             0.00020658,             0.00020658
